kpathid	Pathway	extid	source	size	tag1	tag2	tag3	tag4	tag5	tag6	tag7
kp1180	Ascorbate and Aldarate Metabolism	path:hsa00053	KEGG	30	Metabolism	NA	NA	NA	NA	NA	NA
kp1228	Glyoxylate and Dicarboxylate Metabolism	path:hsa00630	KEGG	30	Metabolism	NA	NA	NA	NA	NA	NA
kp1313	Valine, Leucine and Isoleucine Degradation [SMPDB]	SMP00032	SMPDB	30	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp1944	Matrix Metalloproteinases	WP129	WikiPathway	30	ExtraCellular Matrix	Protein Metabolism	NA	NA	NA	NA	NA
kp2085	Dopaminergic Neurogenesis	WP2855	WikiPathway	30	Developmental Biology	Differentiation	Neuronal System	NA	NA	NA	NA
kp2093	Extracellular Vesicle mediated Signaling in Recipient Cells	WP2870	WikiPathway	30	Signal Transduction	Immune System	NA	NA	NA	NA	NA
kp2183	PI3K/AKT/mTOR Signaling	WP3844	WikiPathway	30	Signal Transduction	PI3K	AKT	mTOR	NA	NA	NA
kp2342	Inflammatory Response Pathway	WP453	WikiPathway	30	Signal Transduction	Immune System	Inflammation	NA	NA	NA	NA
kp2361	Cell Migration and Invasion through p75 NTR	WP4561	WikiPathway	30	Developmental Biology	Neuronal System	Cell Shape & Motility	NA	NA	NA	NA
kp2388	Eicosanoid Metabolism via Cyclooxygenases (COX)	WP4719	WikiPathway	30	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp3186	TCA Cycle [EHMN]	TCA cycle	EHMN	30	Metabolism	Carbohydrate Metabolism	Energy Metabolism	NA	NA	NA	NA
kp3190	Proteoglycan Biosynthesis [EHMN]	Proteoglycan biosynthesis	EHMN	30	Protein Metabolism	ExtraCellular Matrix	NA	NA	NA	NA	NA
kp3344	Trafficking of AMPA Receptors	R-HSA-399719	Reactome	30	Neuronal System	Chemical Synapses	NA	NA	NA	NA	NA
kp3679	Peroxisomal Lipid Metabolism	R-HSA-390918	Reactome	30	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp3954	ISG15 Anti-viral Mechanism	R-HSA-1169408	Reactome	30	Immune System	Interferons	Cytokines	NA	NA	NA	NA
kp3989	Mitophagy [Reactome]	R-HSA-5205647	Reactome	30	Autophagy	NA	NA	NA	NA	NA	NA
kp4074	Activation of BH3-only Proteins	R-HSA-114452	Reactome	30	Apoptosis	Cell Death	NA	NA	NA	NA	NA
kp4280	IL-2/STAT5 Signaling	il2_stat5pathway	PID	30	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp4364	IGF1 Signaling [PID]	igf1_pathway	PID	30	Signal Transduction	RTK Signaling	NA	NA	NA	NA	NA
kp4535	VEGF, Hypoxia and Angiogenesis	vegfpathway	BioCarta	30	Angiogenesis	Blood Vessels	Hypoxia	NA	NA	NA	NA
kp4563	MEF2D in T-cell Apoptosis	mef2dpathway	BioCarta	30	Apoptosis	Cell Death	NA	NA	NA	NA	NA
kp4629	CDC42 Activity Regulation	cdc42_reg_pathway	PID	30	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp4645	mCalpain and Friends in Cell Motility	mcalpainpathway	BioCarta	30	Signal Transduction	Cell Shape & Motility	NA	NA	NA	NA	NA
kp4734	fMLP induced Chemokine Gene Expression in HMC-1 Cells	fmlppathway	BioCarta	30	Signal Transduction	Transcriptional Regulation	Chemokines	Cytokines	NA	NA	NA
kp4747	beta-Arrestin in GPCR Desensitization	barrestinpathway	BioCarta	30	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp4829	Retinoic-acid Receptors (RARs) mediated Signaling	retinoic_acid_pathway	PID	30	Signal Transduction	Transcriptional Regulation	Retinoic-acid	NA	NA	NA	NA
kp5090	Regulation of TP53 Activity through Acetylation	R-HSA-6804758	Reactome	30	Transcriptional Regulation	Epigenetic Regulation	TP53	NA	NA	NA	NA
kp5250	De-activation of beta-Catenin Trans-activating Complex	R-HSA-3769402	Reactome	30	Signal Transduction	WNT	beta-Catenin	NA	NA	NA	NA
kp5286	Fructose and Mannose Metabolism [INOH]	None	INOH	30	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp0892	TCA Cycle [KEGG]	path:hsa00020	KEGG	31	Metabolism	Carbohydrate Metabolism	Energy Metabolism	NA	NA	NA	NA
kp0921	Circadian Rhythm [KEGG]	path:hsa04710	KEGG	31	Physiology	NA	NA	NA	NA	NA	NA
kp1078	RNA polymerase	path:hsa03020	KEGG	31	Transcription	NA	NA	NA	NA	NA	NA
kp1181	Galactose Metabolism [KEGG]	path:hsa00052	KEGG	31	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1193	Pentose phosphate Pathway [KEGG]	path:hsa00030	KEGG	31	Metabolism	NA	NA	NA	NA	NA	NA
kp1433	The Oncogenic Action of Succinate	SMP02292	SMPDB	31	Metabolism	Cancers	NA	NA	NA	NA	NA
kp1436	The Oncogenic Action of Fumarate	SMP02295	SMPDB	31	Metabolism	Cancers	NA	NA	NA	NA	NA
kp2053	trans-Sulfuration and One Carbon Metabolism	WP2525	WikiPathway	31	Metabolism	NA	NA	NA	NA	NA	NA
kp2131	Ovarian Infertility	WP34	WikiPathway	31	Physiology	NA	NA	NA	NA	NA	NA
kp2189	Toll-like Receptor Signaling related to MYD88	WP3858	WikiPathway	31	Signal Transduction	Immune System	Toll-like Receptors	NA	NA	NA	NA
kp2239	Ethanol Effects on Histone Modifications	WP3996	WikiPathway	31	Cellular Responses to Stimulus	Transcriptional Regulation	Epigenetic Regulation	NA	NA	NA	NA
kp2269	Tumor Suppressor Activity of SMARCB1	WP4204	WikiPathway	31	Transcriptional Regulation	Cancers	NA	NA	NA	NA	NA
kp2595	Regulation of p38-alpha and p38-beta	p38alphabetapathway	PID	31	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp2853	RUNX2 Regulates Bone Development	R-HSA-8941326	Reactome	31	Developmental Biology	Transcriptional Regulation	Transcription Factors	Bone	RUNX2	NA	NA
kp3215	Prostaglandin Formation from Dihomo-gamma-Linoleic-acid	Prostaglandin formation from dihomo gama-linoleic acid	EHMN	31	Metabolism	NA	NA	NA	NA	NA	NA
kp3230	Vitamin B5 - CoA Biosynthesis from Pantothenate	Vitamin B5 - CoA biosynthesis from pantothenate	EHMN	31	Metabolism	Vitamin	NA	NA	NA	NA	NA
kp3567	Tight Junction Interactions	R-HSA-420029	Reactome	31	Cell Adhesion	NA	NA	NA	NA	NA	NA
kp3986	Interconversion of Nucleotide Di- and Triphosphates	R-HSA-499943	Reactome	31	Nnucleotides Metabolism	NA	NA	NA	NA	NA	NA
kp4189	ERK and PI3K mediated Collagen Binding in Corneal Epithelium	ecmpathway	BioCarta	31	Signal Transduction	ExtraCellular Matrix	Collagen	NA	NA	NA	NA
kp4346	Integrin AM/B2 Signaling	amb2_neutrophils_pathway	PID	31	Signal Transduction	Integrins	NA	NA	NA	NA	NA
kp4382	Non-genotropic Androgen Signaling	ar_nongenomic_pathway	PID	31	Hormone Metabolism & Fucntions	Signal Transduction	Nuclear Receptors	NA	NA	NA	NA
kp4394	ERBB4 Signaling	erbb4_pathway	PID	31	Signal Transduction	ERBB	NA	NA	NA	NA	NA
kp4416	Lissencephaly gene (LIS1) in Neuronal Migration and Development [PID]	lis1pathway	PID	31	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp4574	Regulation of Cholesterol Biosynthesis by SREBP/SREBF	R-HSA-1655829	Reactome	31	Metabolism	Lipid Metabolism	Cholesterol	NA	NA	NA	NA
kp4583	Steroid Hormones Metabolism	R-HSA-196071	Reactome	31	Hormone Metabolism & Fucntions	Lipid Metabolism	NA	NA	NA	NA	NA
kp4769	Nectin Adhesion Pathway	nectin_pathway	PID	31	Cell Adhesion	NA	NA	NA	NA	NA	NA
kp4784	IL-12/STAT4 Signaling	il12_stat4pathway	PID	31	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp4868	WNT Signaling [BioCarta]	wntpathway	BioCarta	31	Signal Transduction	WNT	beta-Catenin	NA	NA	NA	NA
kp4885	p38 MAPK Signaling [BioCarta]	p38mapkpathway	BioCarta	31	Signal Transduction	MAP Kinases	NA	NA	NA	NA	NA
kp5034	Activation of cAMP dependent PKA	gspathway	BioCarta	31	Signal Transduction	GPCR Signaling	cAMP	NA	NA	NA	NA
kp5097	Aurora A Signaling	aurora_a_pathway	PID	31	Cell Cycle	Signal Transduction	NA	NA	NA	NA	NA
kp5228	Folate Metabolism [INOH]	None	INOH	31	Metabolism	NA	NA	NA	NA	NA	NA
kp0895	Apoptosis Multiple Species	path:hsa04215	KEGG	32	Apoptosis	Cell Death	NA	NA	NA	NA	NA
kp2007	IL-17 Signaling [WikiPathway]	WP2112	WikiPathway	32	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	Toll-like Receptors	NA
kp2010	Endothelin Pathway	WP2197	WikiPathway	32	Blood Vessels	Angiogenesis	Inflammation	Cellular Responses to Stress	NA	NA	NA
kp2095	Constitutive Androstane Receptor Pathway	WP2875	WikiPathway	32	Immune System	Metabolism	Nuclear Receptors	NA	NA	NA	NA
kp2215	Innate Lymphoid Cell (ILC) family Development and Heterogeneity	WP3893	WikiPathway	32	Differentiation	Immune System	Innate Immune System	NA	NA	NA	NA
kp2258	White Fat Cell Differentiation	WP4149	WikiPathway	32	Developmental Biology	Differentiation	Lipid Metabolism	NA	NA	NA	NA
kp2540	Monoamine Transport	WP727	WikiPathway	32	Transport	NA	NA	NA	NA	NA	NA
kp2555	Signal Amplification in Platelet Function	R-HSA-392518	Reactome	32	Homeostasis	Platelet	Signal Transduction	GPCR Signaling	NA	NA	NA
kp2594	Thrombin Signaling and Protease Activated Receptors (PARs) [Reactome]	R-HSA-456926	Reactome	32	Homeostasis	Signal Transduction	GPCR Signaling	Platelet	NA	NA	NA
kp2709	Oncogene Induced Senescence	R-HSA-2559585	Reactome	32	Cellular Responses to Stress	Senescence	Cancers	NA	NA	NA	NA
kp2923	Glucokinase Regulatory Protein mediated Glucokinase Regulation	R-HSA-170822	Reactome	32	Protein Metabolism	RNA Metabolism	Transcription	NA	NA	NA	NA
kp3662	Kainate Receptor Activation by Glutamate Binding	R-HSA-451326	Reactome	32	Neuronal System	Chemical Synapses	Signal Transduction	NA	NA	NA	NA
kp3752	DNA Strand Elongation	R-HSA-69190	Reactome	32	Cell Cycle	DNA Replication	DNA Repair	NA	NA	NA	NA
kp3756	Amino-acid Transport across the Plasma Membrane	R-HSA-352230	Reactome	32	Transport	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp3905	Valine, Leucine and Isoleucine Degradation [INOH]	None	INOH	32	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp3938	G-beta/gamma Signaling	R-HSA-397795	Reactome	32	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp3981	Endosomal Sorting Complex Required For Transport (ESCRT)	R-HSA-917729	Reactome	32	Transport	Vesicle	Endocytosis	NA	NA	NA	NA
kp4048	TGF-beta Receptor Signaling Activates SMADs	R-HSA-2173789	Reactome	32	Signal Transduction	TGF-beta	Transcriptional Regulation	Transcription Factors	SMAD	NA	NA
kp4257	Osteopontin mediated Events	avb3_opn_pathway	PID	32	Signal Transduction	Immune System	Inflammation	NA	NA	NA	NA
kp4351	Non-canonical WNT Signaling [PID]	wnt_noncanonical_pathway	PID	32	Signal Transduction	WNT	NA	NA	NA	NA	NA
kp4712	FLT3 Signaling	R-HSA-9607240	Reactome	32	Signal Transduction	Immune System	Cytokines	NA	NA	NA	NA
kp4969	RHO Cell Motility Signaling	rhopathway	BioCarta	32	Signal Transduction	Small GTPases	Cell Shape & Motility	NA	NA	NA	NA
kp5017	beta-Arrestin in the Activation and Targeting of MAPKs	barrmapkpathway	BioCarta	32	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp5024	B-cell Receptor Signaling [BioCarta]	bcrpathway	BioCarta	32	Signal Transduction	Immune System	Adaptive Immune System	B-cell	NA	NA	NA
kp5083	alpha-Synuclein Signaling	alphasynuclein_pathway	PID	32	Neuronal System	Signal Transduction	NA	NA	NA	NA	NA
kp5161	SDC4 (Syndecan-4) mediated Signaling	syndecan_4_pathway	PID	32	Signal Transduction	ExtraCellular Matrix	NA	NA	NA	NA	NA
kp5254	Glyoxylate Metabolism and Glycine Degradation	R-HSA-389661	Reactome	32	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp1040	SNARE Interactions in Vesicular Transport	path:hsa04130	KEGG	33	Transport	Vesicle	NA	NA	NA	NA	NA
kp1929	Fluoropyrimidine Activity	WP1601	WikiPathway	33	Nucleotide Metabolism	NA	NA	NA	NA	NA	NA
kp2046	Integrin A6/B4 Signaling	WP244	WikiPathway	33	Signal Transduction	Cell Adhesion	Integrins	NA	NA	NA	NA
kp2078	Mammary Gland Development - Pregnancy and Lactation	WP2817	WikiPathway	33	Developmental Biology	Hormone Metabolism & Fucntions	NA	NA	NA	NA	NA
kp2096	Pregnane X Receptor (PXR) Pathway	WP2876	WikiPathway	33	Immune System	Metabolism	Nuclear Receptors	NA	NA	NA	NA
kp2111	Nuclear Receptors in Lipid Metabolism and Toxicity	WP299	WikiPathway	33	Metabolism	Lipid Metabolism	Nuclear Receptors	Cellular Responses to Stimulus	NA	NA	NA
kp2175	BDNF-TrkB Signaling	WP3676	WikiPathway	33	Signal Transduction	Neuronal System	Growth Factors	BDNF	NA	NA	NA
kp2249	Oxidative Stress	WP408	WikiPathway	33	Cellular Responses to Stress	NA	NA	NA	NA	NA	NA
kp2274	MAPK Signaling [WikiPathway]	WP422	WikiPathway	33	Signal Transduction	MAP Kinases	NA	NA	NA	NA	NA
kp2325	RETN (Resistin) as a Regulator of Inflammation	WP4481	WikiPathway	33	Signal Transduction	Immune System	Inflammation	NA	NA	NA	NA
kp2332	IL-1R Signaling [WikiPathway]	WP4496	WikiPathway	33	Signal Transduction	Immune System	Innate Immune System	Inflammation	Interleukins	Cytokines	NA
kp2437	CAMKK2 Pathway	WP4874	WikiPathway	33	Signal Transduction	Neuronal System	Calcium	NA	NA	NA	NA
kp2447	Purinergic Signaling	WP4900	WikiPathway	33	Signal Transduction	NA	NA	NA	NA	NA	NA
kp2511	Monoamine GPCRs	WP58	WikiPathway	33	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp2605	GPVI Receptor mediated Activation Cascade	R-HSA-114604	Reactome	33	Homeostasis	Platelet	NA	NA	NA	NA	NA
kp2707	Keratan Sulfate/Keratin Metabolism	R-HSA-1638074	Reactome	33	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp2810	Signaling to ERKs	R-HSA-187687	Reactome	33	Signal Transduction	RTK Signaling	Neurotrophin	NA	NA	NA	NA
kp3034	NOTCH2 Signaling	R-HSA-1980145	Reactome	33	Signal Transduction	NOTCH	NA	NA	NA	NA	NA
kp3055	Glucagon Signaling in Metabolic Regulation	R-HSA-163359	Reactome	33	Signal Transduction	GPCR Signaling	Metabolism	Energy Metabolism	NA	NA	NA
kp3214	Prostaglandin Formation from Arachidonate	Prostaglandin formation from arachidonate	EHMN	33	Metabolism	NA	NA	NA	NA	NA	NA
kp3654	N-Glycan Trimming in ER and Calnexin/Calreticulin Cycle	R-HSA-532668	Reactome	33	Protein Metabolism	Protein Modification	Glycosylation	NA	NA	NA	NA
kp3799	Tyrosine Metabolism [INOH]	None	INOH	33	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp4235	Cooperation of Prefoldin and TriC/CCT  in Actin and Tubulin Folding	R-HSA-389958	Reactome	33	Protein Metabolism	NA	NA	NA	NA	NA	NA
kp4273	Regulation of RAS family Activation	ras_pathway	PID	33	Signal Transduction	RAS Signaling	NA	NA	NA	NA	NA
kp4317	Netrin mediated Signaling	netrin_pathway	PID	33	Developmental Biology	Neuronal System	Signal Transduction	NA	NA	NA	NA
kp4458	EPO Signaling [PID]	epopathway	PID	33	Signal Transduction	Immune System	NA	NA	NA	NA	NA
kp4463	EPHA Forward Signaling	epha_fwdpathway	PID	33	Developmental Biology	NA	NA	NA	NA	NA	NA
kp4812	Bioactive Peptide induced Signaling	biopeptidespathway	BioCarta	33	Signal Transduction	NA	NA	NA	NA	NA	NA
kp4850	EGFR Transactivation by GPCRs in Cardiac Hypertrophy	cardiacegfpathway	BioCarta	33	Signal Transduction	Physiology	Cardiac System	NA	NA	NA	NA
kp4904	integrin Signaling [BioCarta]	integrinpathway	BioCarta	33	Signal Transduction	Integrins	NA	NA	NA	NA	NA
kp4930	Phospholipids as Signaling Intermediaries	edg1pathway	BioCarta	33	Signal Transduction	NA	NA	NA	NA	NA	NA
kp4974	Sialic-acid Metabolism	R-HSA-4085001	Reactome	33	Protein Metabolism	Protein Modification	Glycosylation	NA	NA	NA	NA
kp5134	MAPK mediated Trk Receptor Signaling	mapktrkpathway	PID	33	Signal Transduction	RTK Signaling	Neurotrophin	NA	NA	NA	NA
kp5203	Glucagon-type Ligand Receptors	R-HSA-420092	Reactome	33	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp5308	Cargo Concentration in the ER	R-HSA-5694530	Reactome	33	Transport	ER	NA	NA	NA	NA	NA
kp0932	Fructose and Mannose Metabolism [KEGG]	path:hsa00051	KEGG	34	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1004	Propanoate Metabolism [KEGG]	path:hsa00640	KEGG	34	Metabolism	NA	NA	NA	NA	NA	NA
kp1231	Pentose and Glucuronate Interconversions	path:hsa00040	KEGG	34	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1955	Fatty-acid beta-Oxidation [WikiPathway]	WP143	WikiPathway	34	Metabolism	Lipid Metabolism	Fatty-acid	NA	NA	NA	NA
kp2116	Hepatocyte Growth Factor Receptor mediated Signaling [WikiPathway]	WP313	WikiPathway	34	Signal Transduction	RTK Signaling	Focal Adhesion	Immune System	Growth Factors	NA	NA
kp2124	Melatonin Metabolism and Effects	WP3298	WikiPathway	34	Metabolism	Homeostasis	NA	NA	NA	NA	NA
kp2241	p38 MAPK Signaling [WikiPathway]	WP400	WikiPathway	34	Signal Transduction	MAP Kinases	NA	NA	NA	NA	NA
kp2353	Leukocyte Intrinsic Hippo Pathway	WP4542	WikiPathway	34	Immune System	Signal Transduction	Hippo	NA	NA	NA	NA
kp2433	Influence of Laminopathies on WNT Signaling	WP4844	WikiPathway	34	Signal Transduction	Differentiation	Lipid Metabolism	NA	NA	NA	NA
kp2457	Mitochondrial Complex IV Assembly	WP4922	WikiPathway	34	Energy Metabolism	Mitochondria	Developmental Biology	NA	NA	NA	NA
kp2815	COP-I independent Golgi-ER Retrograde Traffic	R-HSA-6811436	Reactome	34	Transport	Cell Organelles & Functions	Vesicle	Golgi	ER	NA	NA
kp2981	ATM Signaling (PID)	atm_pathway	PID	34	Cell Cycle	NA	NA	NA	NA	NA	NA
kp3224	Porphyrin Metabolism	Porphyrin metabolism	EHMN	34	Metabolism	NA	NA	NA	NA	NA	NA
kp3348	Amino-acid Regulate mTORC1	R-HSA-9639288	Reactome	34	Signal Transduction	Cellular Responses to Stress	NA	NA	NA	NA	NA
kp3421	IL-8/CXCR2 Signaling	il8cxcr2_pathway	PID	34	Immune System	Signal Transduction	NA	NA	NA	NA	NA
kp3450	RAF Activation	R-HSA-5673000	Reactome	34	Signal Transduction	MAP Kinases	NA	NA	NA	NA	NA
kp3561	Pyruvate Metabolism [INOH]	None	INOH	34	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp3894	NOD1/2 Signaling	R-HSA-168638	Reactome	34	Immune System	Innate Immune System	NA	NA	NA	NA	NA
kp4031	Translocation of SLC2A4 (GLUT4) to the Plasma Membrane	R-HSA-1445148	Reactome	34	Transport	Vesicle	NA	NA	NA	NA	NA
kp4296	CD40/CD40L Signaling	cd40_pathway	PID	34	Signal Transduction	Immune System	NA	NA	NA	NA	NA
kp4952	Generation of Second Messenger Molecules	R-HSA-202433	Reactome	34	Immune System	Adaptive Immune System	T-cell	NA	NA	NA	NA
kp5087	Integrin A4/B1 Signaling	integrin_a4b1_pathway	PID	34	Signal Transduction	Integrins	NA	NA	NA	NA	NA
kp5201	RHOU GTPase Cycle	R-HSA-9013420	Reactome	34	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp5210	RHOV GTPase Cycle	R-HSA-9013424	Reactome	34	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp5278	TNF Signaling [Reactome]	R-HSA-75893	Reactome	34	Signal Transduction	TNF	NA	NA	NA	NA	NA
kp0675	VEGF Production	GO:0010573	Gene Ontology	35	Homeostasis	Angiogenesis	Growth Factors	Physiology	NA	NA	NA
kp0997	Nicotinate and Nicotinamide Metabolism [KEGG]	path:hsa00760	KEGG	35	Metabolism	NA	NA	NA	NA	NA	NA
kp2151	Photodynamic Therapy induced NFkB Survival Signaling	WP3617	WikiPathway	35	Physiology	Apoptosis	Cellular Responses to Stimulus	NA	NA	NA	NA
kp2804	Lysosome Vesicle Biogenesis	R-HSA-432720	Reactome	35	Cell Organelles & Functions	Vesicle	Lysosome	NA	NA	NA	NA
kp3090	Detoxification of Reactive Oxygen Species	R-HSA-3299685	Reactome	35	Metabolism	Reactive Oxygen Species (ROS)	NA	NA	NA	NA	NA
kp3171	Histidine Metabolism [EHMN]	Histidine metabolism	EHMN	35	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp3324	Collagen Degradation	R-HSA-1442490	Reactome	35	ExtraCellular Matrix	Collagen	NA	NA	NA	NA	NA
kp3354	Transcriptional Regulation by E2F6	R-HSA-8953750	Reactome	35	Transcription	Transcriptional Regulation	NA	NA	NA	NA	NA
kp3572	Gluconeogenesis [Reactome]	R-HSA-70263	Reactome	35	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp3715	Selenoamino-acid Metabolism [EHMN]	Selenoamino acid metabolism	EHMN	35	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp3834	Glucagon-like Peptide-1 (GLP1) regulates Insulin Secretion	R-HSA-381676	Reactome	35	Energy Metabolism	Signal Transduction	Insulin	NA	NA	NA	NA
kp4085	EPHB Forward Signaling [Reactome]	R-HSA-3928662	Reactome	35	Developmental Biology	Neuronal System	Signal Transduction	NA	NA	NA	NA
kp4098	RNA Polymerase I Transcription	R-HSA-73864	Reactome	35	Transcription	NA	NA	NA	NA	NA	NA
kp4126	Triglyceride Metabolism [Reactome]	R-HSA-8979227	Reactome	35	Metabolism	Lipid Metabolism	NA	NA	NA	NA	NA
kp4139	RET Signaling	R-HSA-8853659	Reactome	35	Developmental Biology	Neuronal System	Signal Transduction	NA	NA	NA	NA
kp4216	Elastic Fibre Formation	R-HSA-1566948	Reactome	35	ExtraCellular Matrix	NA	NA	NA	NA	NA	NA
kp4286	p38-alpha/p38-beta mediated Signaling	p38alphabetadownstreampathway	PID	35	Developmental Biology	Neuronal System	NA	NA	NA	NA	NA
kp4359	HIF2A Transcription Factor Network	hif2pathway	PID	35	Transcriptional Regulation	Transcription Factors	Hypoxia	NA	NA	NA	NA
kp4368	ARF6 Signaling	arf6_pathway	PID	35	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp4373	FAS (CD95) Signaling [PID]	faspathway	PID	35	Apoptosis	Cell Death	NA	NA	NA	NA	NA
kp4391	ATK mediated Canonical PI3K Signaling	pi3kciaktpathway	PID	35	Signal Transduction	PI3K	ATK	NA	NA	NA	NA
kp4515	PTK2B dependent Angiotensin-II mediated JNK Activation	at1rpathway	BioCarta	35	Signal Transduction	Homeostasis	Angiogenesis	NA	NA	NA	NA
kp4664	Striated Muscle Contraction [Reactome]	R-HSA-390522	Reactome	35	Physiology	Muscle	NA	NA	NA	NA	NA
kp5262	ROS and RNS Production in Phagocytes	R-HSA-1222556	Reactome	35	Immune System	Innate Immune System	Phagocytosis	NA	NA	NA	NA
kp5330	Inwardly Rectifying K+ Channels	R-HSA-1296065	Reactome	35	Neuronal System	Chemical Synapses	NA	NA	NA	NA	NA
kp5447	Toll-like Receptor Signaling [BioCarta]	tollpathway	BioCarta	35	Immune System	Innate Immune System	Toll-like Receptors	NA	NA	NA	NA
kp5529	Hepatocyte Growth Factor (HGF) Pathway	None	INOH	35	Signal Transduction	RTK Signaling	Focal Adhesion	Immune System	Growth Factors	NA	NA
kp1012	Starch and Sucrose Metabolism [KEGG]	path:hsa00500	KEGG	36	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp1119	DNA Replication [KEGG]	path:hsa03030	KEGG	36	Cell Cycle	DNA Replication	NA	NA	NA	NA	NA
kp1187	Tyrosine Metabolism [KEGG]	path:hsa00350	KEGG	36	Metabolism	Amino-acid Metabolism	NA	NA	NA	NA	NA
kp1961	mTOR Signaling [WikiPathway]	WP1471	WikiPathway	36	Signal Transduction	mTOR	NA	NA	NA	NA	NA
kp2138	Zinc Homeostasis	WP3529	WikiPathway	36	Homeostasis	NA	NA	NA	NA	NA	NA
kp2150	Photodynamic Therapy induced HIF1A Survival Signaling	WP3614	WikiPathway	36	Physiology	Apoptosis	Cellular Responses to Stimulus	NA	NA	NA	NA
kp2186	Factors and Pathway Affecting IGF1-AKT Signaling	WP3850	WikiPathway	36	Signal Transduction	AKT	IGF	NA	NA	NA	NA
kp2476	Glycogen Synthesis and Degradation	WP500	WikiPathway	36	Metabolism	Carbohydrate Metabolism	NA	NA	NA	NA	NA
kp2665	PI3K and PLC-gamma mediated Trk Receptor Signaling	pi3kplctrkpathway	PID	36	Signal Transduction	Neuronal System	BDNF	NA	NA	NA	NA
kp2786	IGF Signaling [INOH}	None	INOH	36	Signal Transduction	Insulin	NA	NA	NA	NA	NA
kp2891	HSF1 dependent Trans-activation	R-HSA-3371571	Reactome	36	Cellular Responses to Stress	Homeostasis	NA	NA	NA	NA	NA
kp3128	Nucleobase Catabolism	R-HSA-8956319	Reactome	36	Nucleotide Metabolism	NA	NA	NA	NA	NA	NA
kp3189	O-Glycan Biosynthesis	O-Glycan biosynthesis	EHMN	36	Metabolism	Carbohydrate Metabolism	Protein Metabolism	Protein Modification	Glycosylation	NA	NA
kp3357	Metalloprotease DUBs	R-HSA-5689901	Reactome	36	ExtraCellular Matrix	Protein Metabolism	Ubiquitination	NA	NA	NA	NA
kp3594	Mitochondrial Fatty-acid beta-Oxidation	R-HSA-77289	Reactome	36	Metabolism	Lipid Metabolism	Mitochondria	Fatty-acid	NA	NA	NA
kp3891	Glutathione Conjugation	R-HSA-156590	Reactome	36	Metabolism	Biological Oxidations	NA	NA	NA	NA	NA
kp4318	N-Cadherin Signaling	ncadherinpathway	PID	36	Signal Transduction	Cell Adhesion	NA	NA	NA	NA	NA
kp4397	IL-1 Signaling [PID]	il1pathway	PID	36	Signal Transduction	Immune System	Inflammation	Interleukins	Cytokines	NA	NA
kp4462	E-Cadherin Signaling in the Nascent Adherens Junction	ecadherin_nascentaj_pathway	PID	36	Signal Transduction	Cell Adhesion	NA	NA	NA	NA	NA
kp4811	beta-Arrestin dependent SRC Kinases Recruitment in GPCR Signaling	barrestinsrcpathway	BioCarta	36	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
kp5025	RAC1 Cell Motility Signaling	rac1pathway	BioCarta	36	Signal Transduction	Homeostasis	NA	NA	NA	NA	NA
kp5253	RHOBTB GTPase Cycle	R-HSA-9706574	Reactome	36	Signal Transduction	Small GTPases	NA	NA	NA	NA	NA
kp5295	ADORA2A Signaling	None	INOH	36	Signal Transduction	GPCR Signaling	NA	NA	NA	NA	NA
