Path ID	Reference	Description
K-Path:0493	GO:0045744	negative regulation of g protein coupled receptor signaling
K-Path:0494	GO:0050777	negative regulation of immune response
K-Path:0495	GO:0050728	negative regulation of inflammatory response
K-Path:0496	GO:0032387	negative regulation of intracellular transport
K-Path:0497	GO:1903038	negative regulation of leukocyte cell cell adhesion
K-Path:0498	GO:0045833	negative regulation of lipid metabolic process
K-Path:0499	GO:0051250	negative regulation of lymphocyte activation
K-Path:0500	GO:1903312	negative regulation of mrna metabolic process
K-Path:0501	GO:0051148	negative regulation of muscle cell differentiation
K-Path:0502	GO:0045638	negative regulation of myeloid cell differentiation
K-Path:0503	GO:1901215	negative regulation of neuron death
K-Path:0504	GO:0032088	negative regulation of nf kappab transcription factor activity
K-Path:0505	R-HSA-9604323	Negative regulation of NOTCH4 signaling
K-Path:0506	GO:0010466	negative regulation of peptidase activity
K-Path:0507	GO:0032091	negative regulation of protein binding
K-Path:0508	GO:0042177	negative regulation of protein catabolic process
K-Path:0509	GO:0043242	negative regulation of protein containing complex disassembly
K-Path:0510	GO:1903035	negative regulation of response to wounding
K-Path:0511	GO:1902369	negative regulation of rna catabolic process
K-Path:0512	GO:0051048	negative regulation of secretion
K-Path:0513	GO:2000272	negative regulation of signaling receptor activity
K-Path:0514	GO:0051058	negative regulation of small gtpase mediated signal transduction
K-Path:0515	GO:0062014	negative regulation of small molecule metabolic process
K-Path:0516	GO:1902904	negative regulation of supramolecular fiber organization
K-Path:0517	GO:0050805	negative regulation of synaptic transmission
K-Path:0518	GO:0051348	negative regulation of transferase activity
K-Path:0519	GO:0034763	negative regulation of transmembrane transport
K-Path:0520	GO:1901343	negative regulation of vasculature development
K-Path:0521	GO:0061045	negative regulation of wound healing
K-Path:0522	GO:0072006	nephron development
K-Path:0523	GO:0072009	nephron epithelium development
K-Path:0524	GO:0021675	nerve development
K-Path:0525	R-HSA-373752	Netrin-1 signaling
K-Path:0526	GO:0048857	neural nucleus development
K-Path:0527	GO:0021915	neural tube development
K-Path:0528	GO:0007405	neuroblast proliferation
K-Path:0529	GO:0050905	neuromuscular process
K-Path:0530	GO:0051402	neuron apoptotic process
K-Path:0531	GO:0048663	neuron fate commitment
K-Path:0532	GO:0001764	neuron migration
K-Path:0533	GO:0097485	neuron projection guidance
K-Path:0534	GO:0031102	neuron projection regeneration
K-Path:0535	GO:0007218	neuropeptide signaling
K-Path:0536	GO:0006836	neurotransmitter transport
K-Path:0537	GO:1990266	neutrophil migration
K-Path:0538	R-HSA-5676590	NIK-->noncanonical NF-kB signaling
K-Path:0539	GO:1905515	non motile cilium assembly
K-Path:0540	R-HSA-975957	Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)
K-Path:0541	R-HSA-975956	Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)
K-Path:0542	R-HSA-927802	Nonsense-Mediated Decay (NMD)
K-Path:0543	R-HSA-427413	NoRC negatively regulates rRNA expression
K-Path:0544	GO:0007219	notch signaling
K-Path:0545	GO:0098813	nuclear chromosome segregation
K-Path:0546	GO:0051168	nuclear export
K-Path:0547	GO:0000956	nuclear transcribed mrna catabolic process
K-Path:0548	GO:0090305	nucleic acid phosphodiester bond hydrolysis
K-Path:0549	GO:0015931	nucleobase containing compound transport
K-Path:0550	GO:0034404	nucleobase containing small molecule biosynthetic process
K-Path:0551	GO:0034656	nucleobase containing small molecule catabolic process
K-Path:0552	GO:0009132	nucleoside diphosphate metabolic process
K-Path:0553	GO:1901293	nucleoside phosphate biosynthetic process
K-Path:0554	GO:1901292	nucleoside phosphate catabolic process
K-Path:0555	GO:0006334	nucleosome assembly
K-Path:0556	R-HSA-168643	"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways"
K-Path:0557	GO:0006997	nucleus organization
K-Path:0558	GO:0042475	odontogenesis of dentin containing tooth
K-Path:0559	GO:0120254	olefinic compound metabolic process
K-Path:0560	GO:0009311	oligosaccharide metabolic process
K-Path:0561	R-HSA-5173105	O-linked glycosylation
K-Path:0562	R-HSA-6802957	Oncogenic MAPK signaling
K-Path:0563	R-HSA-111885	Opioid Signalling
K-Path:0564	R-HSA-68949	Orc1 removal from chromatin
K-Path:0565	GO:1903008	organelle disassembly
K-Path:0566	GO:1903825	organic acid transmembrane transport
K-Path:0567	GO:1901617	organic hydroxy compound biosynthetic process
K-Path:0568	GO:1901616	organic hydroxy compound catabolic process
K-Path:0569	GO:0015850	organic hydroxy compound transport
K-Path:0570	GO:0046434	organophosphate catabolic process
K-Path:0571	GO:0015748	organophosphate ester transport
K-Path:0572	GO:0001649	osteoblast differentiation
K-Path:0573	GO:0030316	osteoclast differentiation
K-Path:0574	GO:0042698	ovulation cycle
K-Path:0575	GO:0006119	oxidative phosphorylation
K-Path:0576	R-HSA-2559580	Oxidative Stress Induced Senescence
K-Path:0577	R-HSA-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha
K-Path:0578	R-HSA-69563	p53-Dependent G1 DNA Damage Response
K-Path:0579	GO:0031016	pancreas development
K-Path:0580	GO:0060389	pathway restricted smad protein phosphorylation
K-Path:0581	R-HSA-4086400	PCP/CE
K-Path:0582	R-HSA-2980736	Peptide hormone metabolism
K-Path:0583	GO:0030072	peptide hormone secretion
K-Path:0584	R-HSA-375276	Peptide ligand-binding receptors
K-Path:0585	GO:0018394	peptidyl lysine acetylation
K-Path:0586	GO:0018022	peptidyl lysine methylation
K-Path:0587	GO:0018208	peptidyl proline modification
K-Path:0588	GO:0018210	peptidyl threonine modification
K-Path:0589	GO:0035335	peptidyl tyrosine dephosphorylation
K-Path:0590	GO:0007422	peripheral nervous system development
K-Path:0591	GO:0046470	phosphatidylcholine metabolic process
K-Path:0592	GO:0006661	phosphatidylinositol biosynthetic process
K-Path:0593	GO:0007200	phospholipase c activating g protein coupled receptor signaling
K-Path:0594	GO:0008654	phospholipid biosynthetic process
K-Path:0595	R-HSA-1483257	Phospholipid metabolism
K-Path:0596	GO:0015914	phospholipid transport
K-Path:0597	R-HSA-202427	Phosphorylation of CD3 and TCR zeta chains
K-Path:0598	GO:0046530	photoreceptor cell differentiation
K-Path:0599	GO:0046148	pigment biosynthetic process
K-Path:0600	GO:0043473	pigmentation
K-Path:0601	R-HSA-1257604	PIP3 activates AKT signaling
K-Path:0602	R-HSA-3214841	PKMTs methylate histone lysines
K-Path:0603	GO:0001890	placenta development
K-Path:0604	R-HSA-174824	"Plasma lipoprotein assembly, remodeling, and clearance"
K-Path:0605	GO:0007009	plasma membrane organization
K-Path:0606	GO:0030168	platelet activation
K-Path:0607	R-HSA-76002	"Platelet activation, signaling and aggregation"
K-Path:0608	R-HSA-114608	Platelet degranulation 
K-Path:0609	GO:0048008	platelet derived growth factor receptor signaling
K-Path:0610	R-HSA-418346	Platelet homeostasis
K-Path:0611	R-HSA-112043	PLC beta mediated events
K-Path:0612	GO:0050918	positive chemotaxis
K-Path:0613	GO:0002821	positive regulation of adaptive immune response
K-Path:0614	GO:2001235	positive regulation of apoptotic signaling
K-Path:0615	GO:0032781	positive regulation of atpase activity
K-Path:0616	GO:0050871	positive regulation of b cell activation
K-Path:0617	GO:0090263	positive regulation of canonical wnt signaling
K-Path:0618	GO:1901989	positive regulation of cell cycle phase transition
K-Path:0619	GO:0030307	positive regulation of cell growth
K-Path:0620	GO:0010770	positive regulation of cell morphogenesis involved in differentiation
K-Path:0621	GO:0010811	positive regulation of cell substrate adhesion
K-Path:0622	GO:0034250	positive regulation of cellular amide metabolic process
K-Path:0623	GO:0051495	positive regulation of cytoskeleton organization
K-Path:0624	GO:0035306	positive regulation of dephosphorylation
K-Path:0625	GO:0048639	positive regulation of developmental growth
K-Path:0626	GO:0043388	positive regulation of dna binding
K-Path:0627	GO:0051054	positive regulation of dna metabolic process
K-Path:0628	GO:0030858	positive regulation of epithelial cell differentiation
K-Path:0629	GO:0010634	positive regulation of epithelial cell migration
K-Path:0630	GO:0050679	positive regulation of epithelial cell proliferation
K-Path:0631	GO:0070374	positive regulation of erk1 and erk2 cascade
K-Path:0632	GO:0050729	positive regulation of inflammatory response
K-Path:0633	GO:0032732	positive regulation of interleukin 1 production
K-Path:0634	GO:0090316	positive regulation of intracellular protein transport
K-Path:0635	GO:1903039	positive regulation of leukocyte cell cell adhesion
K-Path:0636	GO:0002705	positive regulation of leukocyte mediated immunity
K-Path:0637	GO:0060193	positive regulation of lipase activity
K-Path:0638	GO:0045834	positive regulation of lipid metabolic process
K-Path:0639	GO:0045931	positive regulation of mitotic cell cycle
K-Path:0640	GO:1903313	positive regulation of mrna metabolic process
K-Path:0641	GO:0045639	positive regulation of myeloid cell differentiation
K-Path:0642	GO:0050769	positive regulation of neurogenesis
K-Path:0643	GO:1901216	positive regulation of neuron death
K-Path:0644	GO:0010976	positive regulation of neuron projection development
K-Path:0645	GO:0051092	positive regulation of nf kappab transcription factor activity
K-Path:0646	GO:0051353	positive regulation of oxidoreductase activity
K-Path:0647	GO:0010952	positive regulation of peptidase activity
K-Path:0648	GO:0002702	positive regulation of production of molecular mediator of immune response
K-Path:0649	GO:0032092	positive regulation of protein binding
K-Path:0650	GO:0045732	positive regulation of protein catabolic process
K-Path:0651	GO:0051897	positive regulation of protein kinase b signaling
K-Path:0652	GO:1905477	positive regulation of protein localization to membrane
K-Path:0653	GO:0002833	positive regulation of response to biotic stimulus
K-Path:0654	GO:0051047	positive regulation of secretion
K-Path:0655	GO:0051057	positive regulation of small gtpase mediated signal transduction
K-Path:0656	GO:0062013	positive regulation of small molecule metabolic process
K-Path:0657	GO:0050806	positive regulation of synaptic transmission
K-Path:0658	GO:0034764	positive regulation of transmembrane transport
K-Path:0659	GO:0032481	positive regulation of type i interferon production
K-Path:0660	GO:1904018	positive regulation of vasculature development
K-Path:0661	GO:0009791	post embryonic development
K-Path:0662	GO:0006301	postreplication repair
K-Path:0663	GO:0099173	postsynapse organization
K-Path:0664	R-HSA-163125	Post-translational modification: synthesis of GPI-anchored proteins
K-Path:0665	R-HSA-1296071	Potassium Channels
K-Path:0666	GO:0006813	potassium ion transport
K-Path:0667	R-HSA-212300	PRC2 methylates histones and DNA
K-Path:0668	GO:0061614	pri mirna transcription by rna polymerase ii
K-Path:0669	GO:0034308	primary alcohol metabolic process
K-Path:0670	R-HSA-72203	Processing of Capped Intron-Containing Pre-mRNA
K-Path:0671	GO:0002532	production of molecular mediator involved in inflammatory response
K-Path:0672	GO:0070918	production of small rna involved in gene silencing by rna
K-Path:0673	GO:0046777	protein autophosphorylation
K-Path:0674	GO:0051865	protein autoubiquitination
K-Path:0675	GO:0051261	protein depolymerization
K-Path:0676	GO:0071824	protein dna complex subunit organization
K-Path:0677	R-HSA-391251	Protein folding
K-Path:0678	GO:0017038	protein import
K-Path:0679	GO:0051205	protein insertion into membrane
K-Path:0680	GO:0070936	protein k48 linked ubiquitination
K-Path:0681	GO:0070534	protein k63 linked ubiquitination
K-Path:0682	GO:0043491	protein kinase b signaling
K-Path:0683	R-HSA-9609507	Protein localization
K-Path:0684	GO:0034394	protein localization to cell surface
K-Path:0685	GO:0034502	protein localization to chromosome
K-Path:0686	GO:0061512	protein localization to cilium
K-Path:0687	GO:0044380	protein localization to cytoskeleton
K-Path:0688	GO:0070585	protein localization to mitochondrion
K-Path:0689	GO:0034504	protein localization to nucleus
K-Path:0690	GO:0035418	protein localization to synapse
K-Path:0691	GO:0072665	protein localization to vacuole
K-Path:0692	GO:0051604	protein maturation
K-Path:0693	GO:0006513	protein monoubiquitination
K-Path:0694	GO:0051258	protein polymerization
K-Path:0695	GO:0050821	protein stabilization
K-Path:0696	GO:0016925	protein sumoylation
K-Path:0697	GO:0051262	protein tetramerization
K-Path:0698	GO:0071806	protein transmembrane transport
K-Path:0699	R-HSA-8852135	Protein ubiquitination
K-Path:0700	R-HSA-6794362	Protein-protein interactions at synapses
K-Path:0701	GO:0030166	proteoglycan biosynthetic process
K-Path:0702	GO:1902600	proton transmembrane transport
K-Path:0703	R-HSA-6807070	PTEN Regulation
K-Path:0704	GO:0072522	purine containing compound biosynthetic process
K-Path:0705	GO:0072527	pyrimidine containing compound metabolic process
K-Path:0706	GO:0006090	pyruvate metabolic process
K-Path:0707	R-HSA-8873719	RAB geranylgeranylation
K-Path:0708	R-HSA-9007101	Rab regulation of trafficking
K-Path:0709	R-HSA-9013149	RAC1 GTPase cycle
K-Path:0710	R-HSA-9013404	RAC2 GTPase cycle
K-Path:0711	R-HSA-9013423	RAC3 GTPase cycle
K-Path:0712	R-HSA-5673001	RAF/MAP kinase cascade
K-Path:0713	GO:1903409	reactive oxygen species biosynthetic process
K-Path:0714	GO:0043113	receptor clustering
K-Path:0715	GO:0043112	receptor metabolic process
K-Path:0716	GO:0097696	receptor signaling pathway via stat
K-Path:0717	R-HSA-110328	Recognition and association of DNA glycosylase with site containing an affected pyrimidine
K-Path:0718	R-HSA-380270	Recruitment of mitotic centrosome proteins and complexes
K-Path:0719	R-HSA-380320	Recruitment of NuMA to mitotic centrosomes
K-Path:0720	R-HSA-5218859	Regulated Necrosis
K-Path:0721	R-HSA-2029482	Regulation of actin dynamics for phagocytic cup formation
K-Path:0722	GO:0032231	regulation of actin filament bundle assembly
K-Path:0723	GO:0030832	regulation of actin filament length
K-Path:0724	GO:0110053	regulation of actin filament organization
K-Path:0725	R-HSA-211733	Regulation of activated PAK-2p34 by proteasome mediated degradation
K-Path:0726	GO:2000027	regulation of animal organ morphogenesis
K-Path:0727	GO:0050854	regulation of antigen receptor mediated signaling
K-Path:0728	R-HSA-176408	Regulation of APC/C activators between G1/S and early anaphase
K-Path:0729	R-HSA-169911	Regulation of Apoptosis
K-Path:0730	GO:1903578	regulation of atp metabolic process
K-Path:0731	GO:0050770	regulation of axonogenesis
K-Path:0732	GO:0050795	regulation of behavior
K-Path:0733	R-HSA-186712	Regulation of beta-cell development
K-Path:0734	GO:0043903	regulation of biological process involved in symbiotic interaction
K-Path:0735	GO:1903522	regulation of blood circulation
K-Path:0736	GO:2001257	regulation of cation channel activity
K-Path:0737	GO:0090342	regulation of cell aging
K-Path:0738	GO:0051302	regulation of cell division
K-Path:0739	GO:1901888	regulation of cell junction assembly
K-Path:0740	GO:0060491	regulation of cell projection assembly
K-Path:0741	GO:0008360	regulation of cell shape
K-Path:0742	GO:0008361	regulation of cell size
K-Path:0743	GO:0033238	regulation of cellular amine metabolic process
K-Path:0744	GO:0006521	regulation of cellular amino acid metabolic process
K-Path:0745	GO:1903362	regulation of cellular protein catabolic process
K-Path:0746	GO:0050920	regulation of chemotaxis
K-Path:0747	GO:0033044	regulation of chromosome organization
K-Path:0748	GO:0051983	regulation of chromosome segregation
K-Path:0749	GO:0042752	regulation of circadian rhythm
K-Path:0750	GO:0030449	regulation of complement activation
K-Path:0751	GO:1904029	regulation of cyclin dependent protein kinase activity
K-Path:0752	GO:2000116	regulation of cysteine type endopeptidase activity
K-Path:0753	GO:2000278	regulation of dna biosynthetic process
K-Path:0754	GO:0000018	regulation of dna recombination
K-Path:0755	GO:0006275	regulation of dna replication
K-Path:0756	GO:0043620	regulation of dna templated transcription in response to stress
K-Path:0757	GO:0045995	regulation of embryonic development
K-Path:0758	GO:0045682	regulation of epidermis development
K-Path:0759	GO:1904035	regulation of epithelial cell apoptotic process
K-Path:0760	R-HSA-9010553	Regulation of expression of SLITs and ROBOs
K-Path:0761	GO:0060966	regulation of gene silencing by rna
K-Path:0762	GO:0043467	regulation of generation of precursor metabolites and energy
K-Path:0763	GO:1903018	regulation of glycoprotein metabolic process
K-Path:0764	R-HSA-9707587	Regulation of HMOX1 expression and activity
K-Path:0765	GO:0046883	regulation of hormone secretion
K-Path:0766	GO:0002920	regulation of humoral immune response
K-Path:0767	GO:0002637	regulation of immunoglobulin production
K-Path:0768	R-HSA-381426	Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)
K-Path:0769	GO:0043506	regulation of jun kinase activity
K-Path:0770	GO:1902743	regulation of lamellipodium organization
K-Path:0771	GO:1902105	regulation of leukocyte differentiation
K-Path:0772	GO:0070663	regulation of leukocyte proliferation
K-Path:0773	GO:0046890	regulation of lipid biosynthetic process
K-Path:0774	GO:0050994	regulation of lipid catabolic process
K-Path:0775	GO:1905952	regulation of lipid localization
K-Path:0776	R-HSA-400206	Regulation of lipid metabolism by PPARalpha
K-Path:0777	GO:0016241	regulation of macroautophagy
K-Path:0778	GO:0097035	regulation of membrane lipid distribution
K-Path:0779	GO:0010959	regulation of metal ion transport
K-Path:0780	GO:0060632	regulation of microtubule based movement
K-Path:0781	GO:0046902	regulation of mitochondrial membrane permeability
K-Path:0782	GO:0051881	regulation of mitochondrial membrane potential
K-Path:0783	GO:0010821	regulation of mitochondrion organization
K-Path:0784	R-HSA-453276	Regulation of mitotic cell cycle
K-Path:0785	GO:0007088	regulation of mitotic nuclear division
K-Path:0786	GO:1905330	regulation of morphogenesis of an epithelium
K-Path:0787	GO:0061013	regulation of mrna catabolic process
K-Path:0788	GO:0050684	regulation of mrna processing
K-Path:0789	R-HSA-450531	Regulation of mRNA stability by proteins that bind AU-rich elements
K-Path:0790	GO:0043900	regulation of multi organism process
K-Path:0791	GO:0043502	regulation of muscle adaptation
K-Path:0792	GO:0002886	regulation of myeloid leukocyte mediated immunity
K-Path:0793	GO:0031644	regulation of nervous system process
K-Path:0794	GO:2000177	regulation of neural precursor cell proliferation
K-Path:0795	GO:0045664	regulation of neuron differentiation
K-Path:0796	GO:0099601	regulation of neurotransmitter receptor activity
K-Path:0797	GO:0050999	regulation of nitric oxide synthase activity
K-Path:0798	GO:0051783	regulation of nuclear division
K-Path:0799	GO:0046822	regulation of nucleocytoplasmic transport
K-Path:0800	GO:0006140	regulation of nucleotide metabolic process
K-Path:0801	GO:1902115	regulation of organelle assembly
K-Path:0802	GO:0032890	regulation of organic acid transport
K-Path:0803	R-HSA-350562	Regulation of ornithine decarboxylase (ODC)
K-Path:0804	GO:0033135	regulation of peptidyl serine phosphorylation
K-Path:0805	GO:0050730	regulation of peptidyl tyrosine phosphorylation
K-Path:0806	GO:0050764	regulation of phagocytosis
K-Path:0807	GO:0043551	regulation of phosphatidylinositol 3 kinase activity
K-Path:0808	GO:0010517	regulation of phospholipase activity
K-Path:0809	GO:0043666	regulation of phosphoprotein phosphatase activity
K-Path:0810	GO:0097006	regulation of plasma lipoprotein particle levels
K-Path:0811	R-HSA-2565942	Regulation of PLK1 Activity at G2/M Transition
K-Path:0812	GO:0099072	regulation of postsynaptic membrane neurotransmitter receptor levels
K-Path:0813	GO:0060078	regulation of postsynaptic membrane potential
K-Path:0814	GO:0035304	regulation of protein dephosphorylation
K-Path:0815	GO:1901879	regulation of protein depolymerization
K-Path:0816	GO:1905475	regulation of protein localization to membrane
K-Path:0817	GO:1903320	regulation of protein modification by small protein conjugation or removal
K-Path:0818	GO:0032271	regulation of protein polymerization
K-Path:0819	GO:1903533	regulation of protein targeting
K-Path:0820	R-HSA-8948751	Regulation of PTEN stability and activity
K-Path:0821	R-HSA-5658442	Regulation of RAS by GAPs
K-Path:0822	GO:1903426	regulation of reactive oxygen species biosynthetic process
K-Path:0823	GO:2000377	regulation of reactive oxygen species metabolic process
K-Path:0824	GO:0048259	regulation of receptor mediated endocytosis
K-Path:0825	GO:1903305	regulation of regulated secretory
K-Path:0826	GO:2000241	regulation of reproductive process
K-Path:0827	GO:0060759	regulation of response to cytokine stimulus
K-Path:0828	GO:2001020	regulation of response to dna damage stimulus
K-Path:0829	GO:1905897	regulation of response to endoplasmic reticulum stress
K-Path:0830	GO:1902882	regulation of response to oxidative stress
K-Path:0831	GO:1903034	regulation of response to wounding
K-Path:0832	GO:0043484	regulation of rna splicing
K-Path:0833	R-HSA-8939902	Regulation of RUNX2 expression and activity
K-Path:0834	R-HSA-8941858	Regulation of RUNX3 expression and activity
K-Path:0835	GO:0051153	regulation of striated muscle cell differentiation
K-Path:0836	GO:0050803	regulation of synapse structure or activity
K-Path:0837	GO:0003073	regulation of systemic arterial blood pressure
K-Path:0838	R-HSA-5633007	Regulation of TP53 Activity
K-Path:0839	GO:0061418	regulation of transcription from rna polymerase ii promoter in response to hypoxia
K-Path:0840	GO:2000677	regulation of transcription regulatory region dna binding
K-Path:0841	GO:0035150	regulation of tube size
K-Path:0842	GO:0001836	release of cytochrome c from mitochondria
K-Path:0843	GO:0003014	renal system process
K-Path:0844	GO:0061326	renal tubule development
K-Path:0845	R-HSA-1474165	Reproduction
K-Path:0846	R-HSA-2500257	Resolution of Sister Chromatid Cohesion
K-Path:0847	GO:0007585	respiratory gaseous exchange by respiratory system
K-Path:0848	GO:0060541	respiratory system development
K-Path:0849	R-HSA-9633012	Response of EIF2AK4 (GCN2) to amino acid deficiency
K-Path:0850	GO:0014823	response to activity
K-Path:0851	GO:0043279	response to alkaloid
K-Path:0852	GO:1904645	response to amyloid beta
K-Path:0853	GO:0048678	response to axon injury
K-Path:0854	GO:0071772	response to bmp
K-Path:0855	GO:0046686	response to cadmium ion
K-Path:0856	GO:1990868	response to chemokine
K-Path:0857	GO:1903350	response to dopamine
K-Path:0858	GO:0043331	response to dsrna
K-Path:0859	GO:0032355	response to estradiol
K-Path:0860	GO:0043627	response to estrogen
K-Path:0861	GO:0045471	response to ethanol
K-Path:0862	GO:0070542	response to fatty acid
K-Path:0863	GO:0071774	response to fibroblast growth factor
K-Path:0864	GO:0009620	response to fungus
K-Path:0865	GO:0010332	response to gamma radiation
K-Path:0866	GO:0042542	response to hydrogen peroxide
K-Path:0867	GO:0034341	response to interferon gamma
K-Path:0868	GO:0070555	response to interleukin 1
K-Path:0869	GO:0070741	response to interleukin 6
K-Path:0870	GO:0002931	response to ischemia
K-Path:0871	GO:1990823	response to leukemia inhibitory factor
K-Path:0872	GO:0034284	response to monosaccharide
K-Path:0873	GO:1990089	response to nerve growth factor
K-Path:0874	GO:0046683	response to organophosphorus
K-Path:0875	GO:0006970	response to osmotic stress
K-Path:0876	GO:0042594	response to starvation
K-Path:0877	GO:0009266	response to temperature stimulus
K-Path:0878	GO:0035966	response to topologically incorrect protein
K-Path:0879	GO:0071559	response to transforming growth factor beta
K-Path:0880	GO:0033273	response to vitamin
K-Path:0881	GO:0009410	response to xenobiotic stimulus
K-Path:0882	GO:0010043	response to zinc ion
K-Path:0883	GO:0060041	retina development in camera type eye
K-Path:0884	GO:0001895	retina homeostasis
K-Path:0885	R-HSA-195258	RHO GTPase Effectors
K-Path:0886	R-HSA-5663220	RHO GTPases Activate Formins
K-Path:0887	R-HSA-5625740	RHO GTPases activate PKNs
K-Path:0888	GO:0007266	rho protein signal transduction
K-Path:0889	R-HSA-8980692	RHOA GTPase cycle
K-Path:0890	R-HSA-9013405	RHOD GTPase cycle
K-Path:0891	R-HSA-9013408	RHOG GTPase cycle
K-Path:0892	R-HSA-9013409	RHOJ GTPase cycle
K-Path:0893	R-HSA-9013406	RHOQ GTPase cycle
K-Path:0894	GO:0071826	ribonucleoprotein complex subunit organization
K-Path:0895	GO:0009119	ribonucleoside metabolic process
K-Path:0896	GO:0009161	ribonucleoside monophosphate metabolic process
K-Path:0897	GO:0009199	ribonucleoside triphosphate metabolic process
K-Path:0898	GO:0042273	ribosomal large subunit biogenesis
K-Path:0899	R-HSA-72702	Ribosomal scanning and start codon recognition
K-Path:0900	GO:0042274	ribosomal small subunit biogenesis
K-Path:0901	GO:0042255	ribosome assembly
K-Path:0902	R-HSA-3214858	RMTs methylate histone arginines
K-Path:0903	GO:0006403	rna localization
K-Path:0904	GO:0001510	rna methylation
K-Path:0905	R-HSA-73772	RNA Polymerase I Promoter Escape
K-Path:0906	R-HSA-73864	RNA Polymerase I Transcription
K-Path:0907	R-HSA-674695	RNA Polymerase II Pre-transcription Events
K-Path:0908	R-HSA-6807505	RNA polymerase II transcribes snRNA genes
K-Path:0909	R-HSA-75955	RNA Polymerase II Transcription Elongation
K-Path:0910	R-HSA-74158	RNA Polymerase III Transcription
K-Path:0911	GO:0060021	roof of mouth development
K-Path:0912	R-HSA-8932339	ROS sensing by NFE2L2
K-Path:0913	GO:0016072	rrna metabolic process
K-Path:0914	R-HSA-72312	rRNA processing
K-Path:0915	GO:0031529	ruffle organization
K-Path:0916	R-HSA-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs
K-Path:0917	R-HSA-69242	S Phase
K-Path:0918	R-HSA-9679506	SARS-CoV Infections
K-Path:0919	GO:0031146	scf dependent proteasomal ubiquitin dependent protein catabolic process
K-Path:0920	R-HSA-187577	SCF(Skp2)-mediated degradation of p27/p21
K-Path:0921	R-HSA-174113	SCF-beta-TrCP mediated degradation of Emi1
K-Path:0922	GO:0019748	secondary metabolic process
K-Path:0923	GO:0035282	segmentation
K-Path:0924	GO:0061912	selective autophagy
K-Path:0925	R-HSA-2408522	Selenoamino acid metabolism
K-Path:0926	R-HSA-2408557	Selenocysteine synthesis
K-Path:0927	R-HSA-373755	Semaphorin interactions
K-Path:0928	R-HSA-2559582	Senescence-Associated Secretory Phenotype (SASP)
K-Path:0929	GO:0090596	sensory organ morphogenesis
K-Path:0930	GO:0050953	sensory perception of light stimulus
K-Path:0931	GO:0050954	sensory perception of mechanical stimulus
K-Path:0932	GO:0019233	sensory perception of pain
K-Path:0933	GO:0050909	sensory perception of taste
K-Path:0934	R-HSA-9659379	Sensory processing of sound
K-Path:0935	R-HSA-2467813	Separation of Sister Chromatids
K-Path:0936	GO:0038034	signal transduction in absence of ligand
K-Path:0937	GO:0042770	signal transduction in response to dna damage
K-Path:0938	R-HSA-177929	Signaling by EGFR
K-Path:0939	R-HSA-1227986	Signaling by ERBB2
K-Path:0940	R-HSA-1236394	Signaling by ERBB4
K-Path:0941	R-HSA-190236	Signaling by FGFR
K-Path:0942	R-HSA-1226099	Signaling by FGFR in disease
K-Path:0943	R-HSA-5358351	Signaling by Hedgehog
K-Path:0944	R-HSA-74752	Signaling by Insulin receptor
K-Path:0945	R-HSA-6806834	Signaling by MET
K-Path:0946	R-HSA-9006927	Signaling by Non-Receptor Tyrosine Kinases
K-Path:0947	R-HSA-157118	Signaling by NOTCH
K-Path:0948	R-HSA-1980143	Signaling by NOTCH1
K-Path:0949	R-HSA-9013694	Signaling by NOTCH4
K-Path:0950	R-HSA-166520	Signaling by NTRKs
K-Path:0951	R-HSA-9006931	Signaling by Nuclear Receptors
K-Path:0952	R-HSA-186797	Signaling by PDGF
K-Path:0953	R-HSA-376176	Signaling by ROBO receptors
K-Path:0954	R-HSA-1433557	Signaling by SCF-KIT
K-Path:0955	R-HSA-9006936	Signaling by TGFB family members
K-Path:0956	R-HSA-983705	Signaling by the B Cell Receptor (BCR)
K-Path:0957	R-HSA-2404192	Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R)
K-Path:0958	R-HSA-194138	Signaling by VEGF
K-Path:0959	GO:0007338	single fertilization
K-Path:0960	GO:0060538	skeletal muscle organ development
K-Path:0961	GO:0048705	skeletal system morphogenesis
K-Path:0962	R-HSA-425407	SLC-mediated transmembrane transport
K-Path:0963	GO:0060395	smad protein signal transduction
K-Path:0964	GO:0051145	smooth muscle cell differentiation
K-Path:0965	GO:0014909	smooth muscle cell migration
K-Path:0966	GO:0048659	smooth muscle cell proliferation
K-Path:0967	GO:0006939	smooth muscle contraction
K-Path:0968	GO:0007224	smoothened signaling
K-Path:0969	GO:0055078	sodium ion homeostasis
K-Path:0970	GO:0035725	sodium ion transmembrane transport
K-Path:0971	GO:0016445	somatic diversification of immunoglobulins
K-Path:0972	GO:0061053	somite development
K-Path:0973	GO:0009799	specification of symmetry
K-Path:0974	GO:0048515	spermatid differentiation
K-Path:0975	R-HSA-428157	Sphingolipid metabolism
K-Path:0976	GO:0021510	spinal cord development
